Message	Target blog URL	Timestamp	Content
1	https://chanhoyin311.wordpress.com/2017/09/11/%E7%AC%AC%E4%B8%80%E7%AF%87%E7%B6%B2%E8%AA%8C%E6%96%87%E7%AB%A0/#comments	2017-10-03 at 20:45:59	"In the physical part of information, you have mentioned a role “controller"" This term sounds interesting to me. The postmen and engineers in your examples seem to have the duty to control the transmission part of information. Considering the Shannon-Weaver model of communication, it includes “information source, message, transmitter, signal, channel, noise, receiver"" Which parts do you think are the controllers really execute on? As for me, I think the controllers not only execute on transmitter, but also on channel. Besides, this concept can be extended. I mean the sender and receiver can also be controllers. Since they are also responsible for the information being sent."
2	https://kelvincheungblog.wordpress.com/2017/09/12/first-blog-post/#comments	"October 3, 2017 at 1:05 pm"	"I agree with your point that information is everywhere. Whenever we are in some environment, we can obtain information from it. And our bodies also have information, because they contain biological information of human. As for the selection part, however, I think it is not just because of importance. For example, we may hear some loud noise when workers are constructing buildings. Although it may not be important to us and it may be annoying, we can also know some information."
3	https://joyyqy.wordpress.com/2017/09/20/what-does-information-mean-to-me/	"OCTOBER 6, 2017 AT 4:33 AM"	"Your post really has a clear structure. And you highlit some keywords using bold letters which show the emphasis. Besides, the real-life experience of your own helps to illustrate the functions of social media, from both user’s point and engineer’s point. I also agree with you that by analyzing the recommendation system of successful products, we can obtain useful information. And it helps when we design our own products."
4	https://huoruixin.wordpress.com/2017/09/22/what-is-information-and-what-does-it-mean-to-me-as-an-engineering-student/#comments	2017年10月6日 @ 下午12:10	"Love your e-mail example. It uses real experience to illustrate how information can reduce uncertainty. Apart from accurate information, I think cognition is also important when we perceive information. For example, the e-mail may say the location is on T.Y Hall. However, some people can get misperception when they first read the e-mail because they think “Ah, Y.C Hall, I know where to go.” Consequently, they go to the wrong place. So, in my opinion, both information and cognition are essential for us to learn."
5	https://ierg3320903.wordpress.com/2017/10/19/a-vr-experiment-on-body-ownership-illusion/comment-page-1/#comment-12	"October 20, 2017 at 5:17 pm"	"I agree with you that VR can trick our brains by letting us think we have a different body. And this “illusion” can be further explained by embodied cognition. When we perceive the surrounding environment, our bodies serve as a fundamental reference for assessing the size of other objects. That’s why the difference of estimation and baseline becomes larger when the participants embodied in the figure of a 4-year-old child. I also experienced this cognition illusion. When I visit the community that I lived in 10 years ago, I need only 10 minutes to walk through while it took 20 minutes when I was a child. The community does not change but my perception is that it becomes “smaller”. That’s the influence of embodiment cognition."
6	https://gavinlch.wordpress.com/2017/10/06/power-of-recommendation-system/comment-page-1/#comment-6	2017-10-20 at 18:00:31	"Indeed, every technology has double edges. It is also true for recommendation system. It can be powerful and benefits people’s life. But it may provide fake information as well. Scientists keep finding new models that can recommend with better performance. Let me explain further using the Netflix recommendation system. When the system recommends movies for users, it’s not just doing basic matrix factorization like what we did in class. Actually, it also takes biases into account. For example, some users may give higher ratings for all movies compared with others. These biases may cause effects to the results. By adding more components into the model, the system can give more accurate recommendations."
7	https://samueltsui.wordpress.com/2017/10/06/collaborative-knowledge-construction-in-social-media/comment-page-1/#comment-6	"OCTOBER 20, 2017 AT 10:24 AM"	"I agree with you that problem-based discussions are more meaningful for Collaborative Knowledge Construction. And this can also be explained by epistemic cognition in the social dimension since it leads to collaborative knowledge construction. Social media facilitate interpersonal communication. However, if we want to construct shared knowledge more effectively, we must build a healthy social network first. This indeed needs users to behave properly to maintain a healthy network environment."
8	https://lauhohim.wordpress.com/2017/10/06/social-network-change-people-way-of-life/comment-page-1/#comment-7	2017-10-20 at 18:44:12	"Yes, I agree with you that social network technologies have changed people’s lives. And they keep developing and updating. For example, when we were young, people used telephones to call each other. But nowadays, telephones are getting replaced by mobile phones. Besides, I also want to say that social media have new functionalities apart from connection and communication. For example, self-presentation. People using social media can build different identities which may give people different impression that they want to show. And they can control this by self-disclosure, which means that they can reveal their own information consciously."
9	https://mynamealexblog.wordpress.com/2017/11/01/why-semantic-information-is-so-important/comment-page-1/#comment-34	"NOVEMBER 3, 2017 — 9:39 AM"	"I think your explanation “Semantic information mean that using semantic contact to represent information.” is a little confused. Let me explain further about semantic information. Semantic is the study of “meaning” and semantic information carries some specific meaning using semantic content including index, sign, and symbols. But languages (words) are also semantic information. They have meanings because of semantic convention. Therefore, you can’t say that semantic information give people information more easily compared to words, since the former includes the latter."
10	https://cherrymaaa.wordpress.com/2017/10/20/symbols/comment-page-1/#comment-20	2017-11-03 AT 17:56:12	"I agree with you that some graphical symbols facilitate people’s lives when language becomes a barrier. But the premier is that people must have convention over these symbols. Let me explain this using the traffic lights as an example, we know that in most places the red light means “stop""nd the green light means “go on"" But what if one country disobeys this convention and uses the lights reversely. Then it will become dangerous for people from other places. Therefore, common convention is also important when we comprehend the semantic meanings of symbols.hhe"
